82,Freedom Planet,Fladervy,PC,2014-07-21,44.0
83,Donkey Kong Country 3,"V0oid, Nocturne_, BluntBunny",SNES,1996-11-22,55.0
84,Chip 'n Dale: Rescue Rangers 2,GameOfTheWeek,NES,1993-12-10,25.0
85,Disney's The Little Mermaid,johncarls,NES,1991-07-19,9.0
86,Duck Tales 2,NME,NES,1993-04-23,17.0
87,Mickey Mousecapade,CTConqueror,NES,1987-03-06,12.0
88,Hook,LivelyRaccoon,SNES,1992-03-27,20.0
89,Quackshot Starring Donald Duck,YellowKillerBee,Genesis,1991-12-19,30.0
90,Tetris Attack,"Darkwing Duck, FFR Pro 21, Edobean, CardsOfTheHeart, Bbforky",SNES,1996-08-05,15.0
91,Final Doom: The Plutonia Experiment,Dime,PC,1996-06-17,40.0
92,Strife,Cubeface,PC,1996-05-15,25.0
93,Hexen,Cubeface,PC,1995-10-30,45.0
94,System Shock,Fearful Ferret,PC,1994-12-31,20.0
95,Judge Dredd: Dredd vs. Death,"Shaddex, DrTChops",PC,2003-10-15,46.0
96,Deus Ex,Heinki,PC,2000-06-22,60.0
97,Star Wars: Dark Forces,psychoripper,PC,1995-02-15,25.0
98,Star Wars: Jedi Knight - Jedi Academy,CovertMuffin,PC,2003-09-17,42.0
99,Star Wars: Knights of the Old Republic,glasnonck,PC,2003-07-15,100.0
100,Max Payne 2,saintmillion,PC,2003-10-15,38.0
101,Serious Sam Double D,Yoshipro101,PC,2011-08-30,35.0
102,Serious Sam: The Random Encounter,altabiscuit,PC,2011-10-24,30.0
103,Star Fox Assault,Mr_Shasta,Wii,2005-02-14,50.0
104,Zelda II: The Adventure of Link,"Simpol, Pro_JN",NES,1987-01-14,65.0
105,Bionic Commando,PJ,NES,1992-09-19,30.0
106,Shatterhand,Klaige,NES,1991-10-26,30.0
107,Rygar,"ShiningDragoon, Darkwing Duck",NES,1987-04-14,24.0
109,Ironsword: Wizards and Warriors II,"Skavenger216, feasel, Gyre, JamEvil",NES,1989-12-31,11.0
110,Gimmick!,Aquas,NES,1992-01-31,14.0
111,Demon Sword,digshake,NES,1990-01-31,16.0
112,Haunted Castle,Jaguar King,PS2,1988-09-22,16.0
113,Gargoyle's Quest 2,RogueLink,Famicom,1992-07-12,33.0
114,Tetris: The Grand Master Series Exhibition,"aperturegrillz, Poochy.EXE, KevinDDR, EnchantressOfNumbers, Qlex",Arcade,1998-12-31,75.0
115,Trials Fusion,The Blaze Jp,PC,2014-04-15,90.0
116,The Elder Scrolls II: Daggerfall,Puri_Puri,PC,1996-08-30,32.0
117,The Elder Scrolls III: Morrowind,AlbinoAlbatross,PC,2002-05-01,38.0
118,The Elder Scrolls V: Skyrim,DrTChops,PC,2011-11-11,48.0
119,Fallout 3,progamingwithed,PC,2008-10-28,18.0
120,Fallout 4,BubblesDelFuego,PC,2015-11-10,70.0
121,Mark Of The Ninja,Vyreck,PC,2012-09-07,55.0
122,Crypt of the NecroDancer,"SpootyBiscuit, mudjoe2",PC,2015-04-23,20.0
123,Trine 3: Artifacts of Power,"progamingwithed, Seak1ng, Fearful Ferret",PC,2015-08-20,70.0
124,Shantae: Risky's Revenge,toucansham,PC,2010-10-04,22.0
125,Magrunner: Dark Pulse,MattyIce3131,PC,2013-06-20,60.0
126,Pause Ahead,doubletaco,PC,2013-08-21,5.0
128,Monster Bash,CapnClever,PC,1998-07-31,30.0
129,Ghostbusters,Breakdown,Genesis,1990-06-29,35.0
130,Jewel Master,Breakdown,Genesis,1991-08-29,15.0
131,Twinkle Tale,Sent,Genesis,1992-07-24,23.0
132,Bubble Ghost,Protomagicalgirl,Gameboy,1990-06-01,9.0
133,Trip World,NachoYacopu,Gamecube,1992-11-27,10.0
134,Dragon Egg,infinitemystery,PC,1991-09-27,15.0
135,Ninja Gaiden Shadow,Protomagicalgirl,Gameboy,1991-12-13,16.0
136,Ultraman Ball,Mundungu,Gameboy,1994-12-22,10.0
137,Kirby & the Amazing Mirror,"swordsmankirby, GravelCrusher",GBA,2004-04-15,36.0
138,Kirby Air Ride,Pearstrike,Wii,2003-10-13,24.0
139,Kirby: Nightmare in Dream Land,Mr_Shasta,Gamecube,2002-10-25,50.0
140,Kirby's Dream Land,"Protomagicalgirl, TrUShade, eBloodyCandy",Gamecube,1992-02-17,14.0
141,Super Mario Land,Protomagicalgirl,Gameboy,1989-04-21,16.0
142,Super Mario Bros. 3,CujoIHSV,NES,1988-10-23,78.0
143,Super Mario World,"xsvArea51, Bramz, truman",SNES,1990-11-21,40.0
144,Mega Man Zero 2,tonic,GBA,2003-05-02,65.0
