"name","category","start_time","duration","runners","id","host"
"inFAMOUS First Light","any% — PS4","2018-01-07 21:02:00","01:20:34","EmeraldAly",14704,
"I wanna be the Boshy","Average-mode 100% — PC","2018-01-11 23:12:00","00:55:58","BBF",108528,"KowalLazy"
"I wanna Run the Marathon","any% — PC","2018-01-12 03:39:05","00:37:32","BBF",14812,
"Jak and Daxter: The Precursor Legacy","Any% No LTS — PS2","2018-01-12 13:04:00","01:00:06","OutrageousJosh",14825,
"Journey to Silius","any% — NES","2018-01-10 12:59:00","00:11:04","Toad22484",14764,
"Kamiko","Any% - Yamato — Switch","2018-01-12 06:49:28","00:23:15","RepentMF",14816,
"Kid Icarus","any% — NES","2018-01-10 11:30:00","00:25:35","Darkwing Duck",14761,
"Kingdom Hearts: Birth by Sleep Final Mix HD","TBD — PS4","2018-01-12 18:21:13","00:52:22","KHfan169, RebelDragon95",14828,
"Kirby: Canvas Curse","Any% — DS","2018-01-13 07:18:00","01:10:49","GloriousLiar",14832,
"Left 4 Dead 2","Main Campaigns Co-op — PC","2018-01-10 00:53:00","00:55:15","mr.deagle, The Master, burhác, MrFailzzz",14752,
"LittleBigPlanet 2","Co-op New Game+ — PS3","2018-01-08 05:32:00","01:37:50","RbdJellyfish, p-p-j",14711,
"Little Nemo: The Dream Master","Any% — NES","2018-01-10 12:29:00","00:23:16","Joka",14763,
"Lovely Planet","Any% Race — PC","2018-01-09 11:10:00","00:11:00","Bullets, sigma",14740,
"Magical Pop'n","any% — SFC","2018-01-08 13:50:00","00:30:25","Sent",14721,
"Mario & Luigi: Superstar Saga","Any% — GBA","2018-01-10 22:11:00","01:32:14","murmilio",14779,
"Mass Effect","Any% — PC","2018-01-13 14:24:00","01:44:22","letterswords",14839,
"Mega Man 1 - 3 Team Relay Race","any% — NES","2018-01-12 23:34:00","01:26:59","WhiteHat94, fastatcc, dxtr, coolkid, ColonelFatso, EndySWE, prisi, shoka, Streamline, Zaraki, cyghfer, cassiothird",14830,
"Mega Man X","any% race — SNES","2018-01-09 00:05:00","00:36:04","ColonelFatso, Tokyo90, Walrus_Prime",14730,
"Mega Man X4","X 100% — PSX","2018-01-08 22:51:00","00:49:51","ultrauberness",14729,
"Mega Man Zero 3","any% — GBA","2018-01-08 21:57:00","00:42:59","Ajarmar",14728,
"Metal Gear Solid","Any% Extreme — PC","2018-01-09 01:03:00","00:42:15","plywood",14731,
"Metal Gear Solid 3: Snake Eater","European Extreme — PS3","2018-01-09 01:59:00","01:29:29","Jaguar King",14732,
"Metroid","all bosses warpless — NES","2018-01-10 19:18:00","00:22:49","metroidmcfly",14776,
"Metroid Prime 3: Corruption","Any% Normal — Wii","2018-01-09 18:29:00","02:40:33","Claris",14749,
"Mike Tyson's Punch-Out!! + Super Punch-Out!!","2 Games 1 Controller — NES and SNES","2018-01-13 01:34:00","00:23:56","zallard1",130651,"Edobean"
"Mitsume Ga Tooru","any% Easy — Famicom","2018-01-10 13:42:04","00:17:48","EndySWE",14766,
"Ori and the Blind Forest: Definitive Edition","All Skills (no OOB/TA) Race — PC","2018-01-12 01:43:09","00:35:06","Vulajin, sigma, Terra, Hydra",14810,
"Owlboy","All Bosses — PC","2018-01-12 02:39:54","00:52:55","Zic3",14811,
"Pac-Man World 2","Any% — Gamecube","2018-01-13 09:50:00","00:43:39","NachoBrado",14834,
"Panic Restaurant","Any% (US Version) — NES","2018-01-10 13:17:04","00:16:26","JSR2gamers",14765,
"Pokemon Black/White Version 2","Any% — DS","2018-01-12 19:28:35","03:27:03","TrevPerson",22767,"Myzlstyx"
"Pop'n Twinbee: Rainbow Bell Adventures","any% — SNES","2018-01-08 13:16:00","00:24:40","Engi",22364,"LLK"
