"time","num_viewers","num_tweets","num_chats","num_emotes","num_donations","total_donations"
"2018-01-14 11:19:00+00",,26,21,2,44443,2262823.19
"2018-01-14 11:18:00+00",,16,16,1,44442,2262818.19
"2018-01-14 11:17:00+00",,12,24,4,44442,2262818.19
"2018-01-14 11:16:00+00",,18,10,1,44442,2262818.19
"2018-01-14 11:15:00+00",,12,11,1,44442,2262818.19
"2018-01-14 11:14:00+00",,22,10,1,44442,2262818.19
"2018-01-14 11:13:00+00",,17,26,5,44442,2262818.19
"2018-01-14 11:12:00+00",,30,15,3,44442,2262818.19
"2018-01-14 11:11:00+00",,15,16,2,44442,2262818.19
"2018-01-14 11:10:00+00",,20,17,3,44442,2262818.19
"2018-01-14 11:09:00+00",,14,25,6,44442,2262818.19
"2018-01-14 11:08:00+00",,32,22,2,44442,2262818.19
"2018-01-14 11:07:00+00",,23,26,6,44442,2262818.19
"2018-01-14 11:06:00+00",,14,17,2,44442,2262818.19
"2018-01-14 11:05:00+00",,18,27,6,44442,2262818.19
"2018-01-14 11:04:00+00",,17,12,2,44442,2262818.19
"2018-01-14 11:03:00+00",,16,24,3,44442,2262818.19
"2018-01-14 11:02:00+00",,23,19,1,44442,2262818.19
"2018-01-14 11:01:00+00",,24,18,2,44442,2262818.19
"2018-01-14 11:00:00+00",,25,17,2,44442,2262818.19
"2018-01-14 10:59:00+00",,25,13,2,44442,2262818.19
"2018-01-14 10:58:00+00",,20,12,1,44442,2262818.19
"2018-01-14 10:57:00+00",,23,13,3,44442,2262818.19
"2018-01-14 10:56:00+00",,32,5,0,44442,2262818.19
"2018-01-14 10:55:00+00",,26,10,2,44442,2262818.19
"2018-01-14 10:54:00+00",,16,18,6,44442,2262818.19
"2018-01-14 10:53:00+00",,21,17,7,44441,2262803.19
"2018-01-14 10:52:00+00",,29,13,0,44441,2262803.19
"2018-01-14 10:51:00+00",,33,17,3,44441,2262803.19
"2018-01-14 10:50:00+00",,21,6,0,44441,2262803.19
"2018-01-14 10:49:00+00",,33,15,1,44441,2262803.19
"2018-01-14 10:48:00+00",,26,16,2,44441,2262803.19
"2018-01-14 10:47:00+00",,21,14,5,44441,2262803.19
"2018-01-14 10:46:00+00",,22,18,2,44441,2262803.19
"2018-01-14 10:45:00+00",,33,18,6,44441,2262803.19
"2018-01-14 10:44:00+00",,29,17,4,44441,2262803.19
"2018-01-14 10:43:00+00",,25,27,10,44441,2262803.19
"2018-01-14 10:42:00+00",,33,22,3,44441,2262803.19
"2018-01-14 10:41:00+00",,33,20,8,44441,2262803.19
"2018-01-14 10:40:00+00",,42,15,7,44441,2262803.19
"2018-01-14 10:39:00+00",,35,14,5,44440,2262793.19
"2018-01-14 10:38:00+00",,41,27,18,44440,2262793.19
"2018-01-14 10:37:00+00",,44,28,4,44440,2262793.19
"2018-01-14 10:36:00+00",,47,27,1,44439,2262783.19
"2018-01-14 10:35:00+00",,43,18,5,44439,2262783.19
"2018-01-14 10:34:00+00",,32,28,8,44439,2262783.19
"2018-01-14 10:33:00+00",,30,27,13,44439,2262783.19
"2018-01-14 10:32:00+00",,36,28,8,44438,2262733.19
"2018-01-14 10:31:00+00",,43,33,11,44438,2262733.19
"2018-01-14 10:30:00+00",,38,40,15,44438,2262733.19
"2018-01-14 10:29:00+00",,41,19,0,44438,2262733.19
"2018-01-14 10:28:00+00",,45,27,10,44438,2262733.19
"2018-01-14 10:27:00+00",,63,31,11,44438,2262733.19
"2018-01-14 10:26:00+00",,55,40,14,44438,2262733.19
"2018-01-14 10:25:00+00",,52,30,10,44438,2262733.19
"2018-01-14 10:24:00+00",,76,25,13,44438,2262733.19
