"time","num_viewers","num_tweets","num_chats","num_emotes","num_donations","total_donations"
"2018-06-24 16:25:00+00",38623,39,98,64,7,200.16
"2018-06-24 16:26:00+00",39502,51,105,167,7,200.16
"2018-06-24 16:27:00+00",40333,40,96,148,7,200.16
"2018-06-24 16:28:00+00",41338,50,134,185,7,200.16
"2018-06-24 16:29:00+00",42049,53,145,177,9,230.16
"2018-06-24 16:30:00+00",43816,61,210,353,9,230.16
"2018-06-24 16:31:00+00",46622,77,471,772,9,230.16
"2018-06-24 16:32:00+00",48752,138,159,196,10,343.16
"2018-06-24 16:33:00+00",49504,94,173,261,10,343.16
"2018-06-24 16:34:00+00",49504,76,177,148,12,393.16
"2018-06-24 16:35:00+00",53407,66,156,128,14,448.16
"2018-06-24 16:36:00+00",54633,51,166,131,17,498.16
"2018-06-24 16:37:00+00",55571,75,111,96,17,498.16
"2018-06-24 16:38:00+00",55571,76,52,42,18,518.16
"2018-06-24 16:39:00+00",57029,51,109,100,22,748.16
"2018-06-24 16:40:00+00",57834,58,107,172,24,823.16
"2018-06-24 16:41:00+00",58259,49,157,185,29,958.16
"2018-06-24 16:42:00+00",59365,35,190,136,33,998.16
"2018-06-24 16:43:00+00",59365,47,175,175,33,998.16
"2018-06-24 16:44:00+00",60125,48,124,110,36,1043.16
"2018-06-24 16:45:00+00",60591,51,126,162,37,1058.16
"2018-06-24 16:46:00+00",61667,40,109,96,39,1073.16
"2018-06-24 16:47:00+00",62264,52,69,55,40,1088.16
"2018-06-24 16:48:00+00",62692,54,117,91,43,1158.16
"2018-06-24 16:49:00+00",63369,39,74,58,46,1473.16
"2018-06-24 16:50:00+00",63698,46,226,166,47,1523.16
"2018-06-24 16:51:00+00",64491,58,358,322,48,1528.16
"2018-06-24 16:52:00+00",65297,82,166,132,48,1528.16
"2018-06-24 16:53:00+00",67162,69,214,165,49,1543.16
"2018-06-24 16:54:00+00",67162,68,178,201,52,1813.16
"2018-06-24 16:55:00+00",67967,64,129,92,52,1813.16
"2018-06-24 16:56:00+00",70616,63,161,134,54,1853.16
"2018-06-24 16:57:00+00",70658,49,229,288,56,1873.16
"2018-06-24 16:58:00+00",71159,34,167,166,58,1883.16
"2018-06-24 16:59:00+00",71891,57,197,174,62,2359.16
"2018-06-24 17:00:00+00",73111,58,218,330,67,2444.16
"2018-06-24 18:11:00+00",100833,34,50,45,342,79656.67
"2018-06-24 18:12:00+00",100983,28,47,30,345,79716.67
"2018-06-24 18:13:00+00",101708,32,65,85,348,79846.67
"2018-06-24 18:14:00+00",102214,30,63,58,348,79846.67
"2018-06-24 18:15:00+00",102238,32,41,46,351,79891.67
"2018-06-24 18:16:00+00",103062,26,56,63,351,79891.67
