"name","category","start_time","duration","runners","host","id"
"Resident Evil HD Remaster","New Game 100% (Best Ending) — PC","2018-06-26 06:57:00","01:31:00","Pessimism","FrenchToast",41
"F.E.A.R.","Any% — PC","2018-06-26 08:42:00","01:03:24","Maxylobes","FrenchToast",42
"Penumbra: Overture","Any% QSA — PC","2018-06-26 09:55:00","00:14:14","Blood_Thunder","AnEternalEnigma",43
"Amy","Amy% — PS3","2018-06-26 10:24:00","00:41:45","FoldableHuman","AnEternalEnigma",44
"Pet the Pup at the Party","10 Pups — PC","2018-06-26 11:19:00","00:05:48","Bullets","LLK",45
"FreezeMe","25 Cubes — PC","2018-06-26 11:33:00","00:53:59","Mildew","LLK",46
"Legend of Kay Anniversary","Any% — PS4","2018-06-26 12:33:00","00:31:02","DarkTerrex","LLK",47
"The Simpsons: Hit & Run","All Story Missions — PC","2018-06-26 13:14:00","01:45:45","Sadlybadlyy","MisterGameandShout",48
"Bonk's Revenge","Expert — TG-16","2018-06-26 15:15:00","00:27:22","lattmackey","Yen24",49
"Splatterhouse","any% — TG-16","2018-06-27 12:33:00","00:13:31","zallard1","Yen24",50
"Banjo-Tooie","Any% — N64","2018-06-24 17:04:00","00:44:47","GarageDoorOpener","YellowKillerBee",1
"Spyro the Dragon","Any% — PSX","2018-06-24 18:02:00","00:42:23","ChrisLBC","YellowKillerBee",2
"Iconoclasts","Any% — PC","2018-06-24 19:06:00","00:42:36","RiskyCB","theboyks",3
"Kirby: Super Star Ultra","Meta Knightmare Ultra — DS","2018-06-24 20:06:00","00:31:36","Kinnin11","theboyks",4
"Shantae and the Pirate's Curse","Any% Pirate No-OOB Race — PC","2018-06-24 20:58:00","01:05:18","tinahacks, JTNoriMaki","theboyks",5
"Warcraft III: Reign of Chaos","Undead Campaign Normal — PC","2018-06-24 22:17:00","00:49:53","CovertMuffin","musical_daredevil",6
"The Legend of Zelda: Majora's Mask 3D","Any% — 3DS","2018-06-24 23:34:00","01:32:46","gymnast86","musical_daredevil",7
"DOOM (2016)","Any% — PC","2018-06-25 01:26:00","00:37:35","jeromegood","AnEternalEnigma",8
"Resident Evil 4","New Game, Professional — PC","2018-06-25 02:20:00","01:36:28","JTB","AnEternalEnigma",9
"Ninja Gaiden Black","Any% Normal — Xbox","2018-06-25 04:26:00","01:55:06","MikeKanis","Yen24",10
"Ninja Gaiden","Any% — NES","2018-06-25 06:38:00","00:12:14","Aquas","Yen24",11
"Gimmick!","Any% Glitchless — Famicom","2018-06-25 07:03:00","00:10:42","Aquas","DarkTwinge",12
"Ghosts 'N Goblins","Any% (2 loops) — NES","2018-06-25 07:26:00","00:23:48","ERROR72","DarkTwinge",13
"Wacky Races","any% — NES","2018-06-25 07:59:00","00:19:04","The_Kov","DarkTwinge",14
"Kid Kool","any% — NES","2018-06-25 08:25:00","00:19:07","Smartball","DarkTwinge",15
"Pizza Pop!","any% — Famicom","2018-06-25 08:52:00","00:10:21","Apollo22237","Agama",16
"Bangai-O!","any% — Dreamcast","2018-06-25 09:12:00","00:46:50","akerasi","Agama",17
"Super Mario Bros.","warpless — NES","2018-06-29 00:57:30","00:38:00","SuperSonic71087, RetroBob_, Kosmic, RoyLGamer","Skybilz",107
"Super Mario Bros. 3","All Forts Race — NES","2018-06-29 01:58:00","00:58:34","mitchflowerpower, grandpoobear","Skybilz",108
"Super Mario World","All Castles & Forts, Small Only — SNES","2018-06-29 03:23:26","01:09:10","rezephos","Skybilz",109
"Mario Kart 8 Deluxe","32 Tracks, 200cc, Items — Switch","2018-06-29 04:49:00","01:34:44","AeonFrodo","Arlynia",110
