"name","start_time","duration","runners"
"Contra 4","2017-01-13 17:07:00","00:24:58","Mr. K"
"Crash Bandicoot 2: Cortex Strikes Back","2017-01-13 18:01:00","01:20:57","SwordofSeals"
"Crash Team Racing","2017-01-13 19:32:00","00:52:56","Natty"
"Super Mario Galaxy 2","2017-01-14 14:36:35","03:08:12","Vallu"
"Super Dram World","2017-01-14 18:04:05","00:33:03","grandpoobear"
"BONUS: Super Mario Bros.: The Lost Levels","2017-01-14 19:08:05","00:23:57","GameJ06, andrewg"
"TASBot vs NES Classic","2017-01-14 19:53:05","00:02:30","dwangoAC"
"BONUS TAS: TASBot's Revenge: Gradius Round 2","2017-01-14 19:56:35","00:11:19","dwangoAC"
"LittleBigPlanet 3","2017-01-10 10:24:46","00:36:42","RbdJellyfish"
"Road Trip Adventure","2017-01-10 11:19:46","00:18:38","Konasumi"
"Descent II","2017-01-10 20:17:46","00:40:03","SpootyBiscuit"
"Daikatana","2017-01-10 21:13:46","00:51:37","Cubeface"
"Half-Life: Blue Shift","2017-01-10 22:10:46","00:30:31","Cubeface"
"Doom (2016)","2017-01-10 23:03:46","00:54:10","Blood_Thunder"
"Super Mario Bros.","2017-01-11 00:53:06","00:05:50","darbian, Kosmicd12, andrewg"
"Super Mario Bros.: The Lost Levels","2017-01-11 01:09:56","00:11:50","darbian, Kosmicd12, andrewg"
"Super Mario Sunshine","2017-01-11 01:45:56","01:19:22","Bounceyboy, PangaeaPanga, AverageTrey, StrongmanLin"
"Final Fantasy","2017-01-11 03:24:56","03:54:27","feasel, Gyre"
"Gauntlet","2017-01-11 07:28:56","00:25:11","feasel, Mithical9"
"TASBot plays Super Mario Bros.","2017-01-14 20:08:54","00:00:50","dwangoAC"
"Ape Escape 2","2017-01-08 17:00:00","00:55:30","iongravirei"
"The Legend of Zelda: Ocarina of Time 3D","2017-01-08 18:08:00","01:57:23","benstephens56"
"Borderlands 2","2017-01-08 20:23:00","01:44:50","Shockwve, Amyrlinn"
"Psychonauts","2017-01-08 22:30:00","00:53:32","demoli"
"Shovel Knight","2017-01-08 23:46:00","00:46:16","Smaugy, MunchaKoopas"
"Mega Man","2017-01-09 01:00:00","00:24:01","WhiteHat94, Endy, dxtr, coolkid"
"Super Mario Kart","2017-01-09 01:46:00","00:30:24","KVD, Sami Cetin"
"Wayne's World","2017-01-12 08:21:59","00:07:16","WhiteHat94"
"Big Nose the Caveman","2017-01-12 08:39:59","00:21:48","LackAttack24"
"Donkey Kong 5: The Journey of Over Time and Space","2017-01-12 09:17:59","00:09:36","theboyks"
"Catechumen","2017-01-12 10:04:59","00:24:07","peaches_"
"WolfQuest","2017-01-12 10:39:59","00:18:25","Brossentia"
"Cornerstone: The Song of Tyrim","2017-01-12 11:07:59","00:33:00","DrTChops"
"Turok: Dinosaur Hunter","2017-01-12 12:47:59","00:37:09","Bawkbasoup"
"Left 4 Dead 1","2017-01-12 13:44:59","01:02:58","mr.deagle, The Master"
"007: Nightfire","2017-01-12 15:04:59","00:39:47","KeystoneLight"
"Trauma Center: New Blood","2017-01-12 15:58:59","01:34:44","Irisjoker, Slurpeeninja"
"The Legend of Korra","2017-01-12 17:54:59","00:40:25","DolphinDasher"
"Sonic Advance 2","2017-01-12 18:48:59","00:27:53","Kirbymastah"
"Sonic R","2017-01-12 19:26:59","00:14:51","Keverage"
"Sonic Adventure 2: Battle","2017-01-12 19:51:59","00:38:50","Seraphim1313"
"Mystery Game Tournament","2017-01-12 21:17:59","01:02:00","Unknown"
"Quake","2017-01-09 02:34:00","00:15:10","coolkid"
"Metal Gear Solid 2: Sons of Liberty","2017-01-09 03:14:00","01:32:27","Jaguar King"
"Devil May Cry","2017-01-09 05:06:00","00:51:29","Maxylobes"
"Resident Evil Zero HD Remaster","2017-01-09 06:08:00","01:16:17","Pessimism"
"Silent Hill 4: The Room","2017-01-09 07:46:00","01:11:21","AnEternalEnigma"
"F.E.A.R. Extraction Point","2017-01-09 09:38:00","00:40:21","Overfiendvip"
"Hitman: Blood Money","2017-01-09 10:30:00","00:36:52","Saintmillion"
"The Turing Test","2017-01-09 11:14:00","00:38:38","Azorae"
"Hyper Princess Pitch","2017-01-09 12:04:00","00:14:08","WanderingMind"
"Hydra Castle Labyrinth","2017-01-09 12:25:00","00:32:26","ForOhFor"
"Kalimba","2017-01-09 13:15:00","00:18:05","DevilSquirrel"
"New Super Hook Girl","2017-01-09 13:43:00","00:05:57","bjw"
"Valdis Story: Abyssal City","2017-01-09 14:12:00","00:37:48","RiskyCB"
"Salt and Sanctuary","2017-01-09 15:52:00","00:09:57","Grimelios"
"Magic Sword","2017-01-09 16:10:00","00:23:38","Pro_JN, yelsraek"
"Joe and Mac 2","2017-01-09 16:43:00","00:21:36","dram55"
"Congo's Caper","2017-01-09 17:12:00","00:21:56","Omnigamer"
"Batman: Return of the Joker","2017-01-09 17:41:00","00:13:57","Toad22484"
"Sunset Riders","2017-01-09 18:08:00","00:20:59","Gusmancini"
"Super Bomberman","2017-01-09 18:39:00","00:15:13","Crak Atak"
"Smart Ball","2017-01-09 19:00:00","00:18:00","giygasblues"
"Mario Paint","2017-01-09 19:27:00","00:04:28","DoDeChehedron"
"Battle Clash","2017-01-09 19:41:00","00:13:58","SCXCR"
"Sega Bass Fishing","2017-01-09 20:17:00","00:07:12","Fuzzyness"
"Rocket: Robot on Wheels","2017-01-09 21:10:10","00:58:48","mashystrr"
"Super Monkey Ball 2","2017-01-09 22:21:58","00:34:34","Peanut"
"Super Monkey Ball Adventure","2017-01-09 23:07:32","00:18:13","Pokehero"
"Pokémon Emerald","2017-01-09 23:36:45","02:56:16","TheTyrant14"
"Tetris with Cardcaptor Sakura: Eternal Heart","2017-01-10 03:01:00","00:24:32","KevinDDR, EnchantressOfNumbers"
"Blaster Master","2017-01-10 03:52:00","00:39:14","Skavenger216, ShiningDragoon"
"Ninja Gaiden","2017-01-10 04:42:00","00:17:31","dxtr, Gusmancini"
"Ninja Gaiden II: The Dark Sword of Chaos","2017-01-10 05:06:00","00:16:54","Gusmancini"
"Sparkster","2017-01-10 05:39:00","00:20:34","Drakodan"
"Decap Attack","2017-01-10 06:07:00","00:25:06","cook"
"Adventure Island 4","2017-01-10 06:47:00","00:25:16","puchiedarcy"
"Shippuu! Iron Leaguer","2017-01-10 07:24:00","00:15:59","Neerrm"
"Mickey's Dangerous Chase","2017-01-10 07:50:00","00:13:23","Adefgames"
"Jazz Jackrabbit","2017-01-10 08:15:23","00:30:39","CapnClever"
"Jumping Flash! 2","2017-01-10 08:58:02","00:24:12","TonyOgbot"
"Intelligent Qube (Kurushi)","2017-01-10 09:36:14","00:28:32","CaneofPacci"
"SEUM: Speedrunners from Hell","2017-01-11 13:16:00","00:17:51","MattyIce3131"
"Adventure Island 2 (GB)","2017-01-12 11:57:59","00:21:32","Ppotdot1"
"Fortified Zone","2017-01-12 12:26:59","00:12:14","CuteFluffyBunny"
"Batman: Arkham City","2017-01-12 02:39:10","01:32:54","BubblesDelFuego"
"Batman Forever","2017-01-12 04:28:10","00:43:11","PJ, Klaige"
"Timecop","2017-01-12 05:19:10","00:26:30","Omnigamer"
"Cool World","2017-01-12 05:56:10","00:10:00","Mecha Richter"
"The Adventures of Rocky and Bullwinkle and Friends","2017-01-12 06:13:10","00:17:50","authorblues"
"Dragon's Lair","2017-01-12 06:38:10","00:13:26","SCXCR"
"A Nightmare on Elm Street","2017-01-12 07:05:10","00:25:23","Skavenger216, feasel, JamEvil, Cantaloupeme"
"Cheetahmen (Action 52)","2017-01-12 07:39:09","00:04:27","huey"
"King of Kings: The Early Years","2017-01-12 07:50:59","00:04:26","Linkums"
"T&C 2: Thrilla's Surfari","2017-01-12 08:00:59","00:15:04","WhiteHat94"
"TASBot plays Super Mario Bros. 3","2017-01-14 20:11:02","00:03:00","dwangoAC"
"TASBot dominates Mega Man 1","2017-01-14 20:13:44","00:00:49","dwangoAC"
"TASBot plays A Link to the Past","2017-01-14 20:15:33","00:03:41","dwangoAC"
"TASBot plays the Community Choice","2017-01-14 20:24:14","00:05:31","dwangoAC"
"Dark Souls 3","2017-01-14 21:26:45","00:58:50","BubblesDelFuego"
"The Legend of Zelda: The Wind Waker HD","2017-01-14 23:00:45","03:49:19","Linkus7"
"Super Metroid","2017-01-15 03:20:45","01:22:30","zoast, Ivan, Behemoth87, WildAnaconda69"
"Undertale","2017-01-15 05:28:45","01:28:27","TGH"
