"name","start_time","duration","runners","id"
"OmniBus","2017-07-04 11:13:00","00:19:30","Konasumi",67
"Onimusha: Warlords","2017-07-05 11:48:00","01:16:45","BOWIEtheHERO",8
"Plok","2017-07-06 13:32:00","00:31:08","Countdown42",26
"Poi","2017-07-04 11:54:00","00:54:09","097Aceofspades",68
"Pokémon HeartGold/SoulSilver","2017-07-04 22:22:02","02:36:24","Keizaron",7
"Pokemon Puzzle League","2017-07-04 21:32:33","00:32:29","FFR Pro 21",6
"Portal","2017-07-06 21:13:59","00:13:28","alexh0we",31
"Portal 2","2017-07-09 03:43:00","00:45:19","Azorae",107667
"Prince of Persia: The Sands of Time","2017-07-06 18:27:59","01:25:05","Hennejoe",29
"Ratchet & Clank","2017-07-06 14:18:00","01:07:05","Xem",27
"Resident Evil","2017-07-05 08:42:00","00:41:44","RawDerps",84
"Resident Evil: Code: Veronica X","2017-07-05 09:46:00","01:43:06","Pessimism",76
"Rise of The Triad","2017-07-08 13:14:00","00:26:08","psychoripper",129
"Rosenkreuzstilette Freudenstachel","2017-07-07 14:29:10","00:32:27","bjw, LV Creed",116
"Shadow Complex Remastered","2017-07-07 13:52:10","00:17:03","ajfirecracker",115
"Shadow of The Colossus","2017-07-06 17:00:59","00:46:39","Plush",101
"Shantae: Half-Genie Hero","2017-07-07 10:39:00","01:02:22","skateman222",111
"Shovel Knight: Specter of Torment","2017-07-04 16:12:00","00:45:02","MunchaKoopas",5592
"Shuriken","2017-07-05 13:21:00","00:06:27","SuccinctAndPunchy",85
"Silent Hill 2","2017-07-05 06:58:35","00:52:10","tekkie",83
"Sonic CD 2011","2017-07-03 21:17:00","00:23:48","flying fox",56
"Sonic Colours","2017-07-03 23:20:00","00:50:10","CriticalCyd",58
"Sonic Generations","2017-07-03 21:55:00","00:59:04","Frokenok",57
"Splasher","2017-07-07 12:40:10","00:47:01","Gyoo",113
"Spyro: Year of the Dragon","2017-07-03 15:49:00","00:56:18","Dactyly",52
"Startropics","2017-07-05 19:17:00","01:07:12","thetantalus",15
"Star Wars Jedi Knight II: Jedi Outcast","2017-07-07 17:37:30","00:48:07","CovertMuffin",122
"Strider (2014)","2017-07-03 07:24:00","00:31:12","Theguesst",42
"Super Adventure Island 2","2017-07-03 10:34:00","00:48:47","Ppotdot1",46
"SUPERHOT","2017-07-08 13:48:00","00:20:37","Bullets",130
"Super Mario 64","2017-07-08 21:30:00","01:41:40","cheese05",135
"Super Mario Series Warpless Relay Race","2017-07-07 22:49:36","02:47:12","Just_defend, bjw, Svenne, darbian, Dotsarecool, xsvArea51, truman, LackAttack24, grandpoobear, Kosmicd12, MrCab, Kirua, SuperSonic71087, Aweglib, RaikouRider",124
"Super Meat Boy","2017-07-05 18:11:00","00:21:14","warm_ham, Fimbz",92
"Super Metroid","2017-07-08 03:50:00","00:52:49","oatsngoats, zoast, Overfiendvip",126
"Super Monkey Ball Deluxe","2017-07-03 18:36:00","01:26:22","Jcool114",54
"Super Panga World","2017-07-08 20:40:00","00:33:23","DoDeChehedron",134
"SUPER SPECIAL BONUS SETUP BLOCK","2017-07-09 03:42:00","00:55:00","Tech Crew",102009
"Super Win The Game","2017-07-07 13:34:10","00:12:01","GamerDomey",114
"Teenage Mutant Ninja Turtles III: Radical Rescue","2017-07-07 16:33:35","00:28:46","ZorlaxSeven",120
"Tetris: The Grand Master","2017-07-07 05:01:00","00:10:40","Protomagicalgirl, aperturegrillz, KevinDDR, MxKai3",106
"Tetris The Grand Master 3: Terror Instinct","2017-07-07 06:00:00","00:05:33","KevinDDR",33
"Tetris: The Grand Master 3 - Terror Instinct","2017-07-07 02:32:00","00:06:00","KevinDDR",28
"The Addams Family: Pugsley's Scavenger Hunt","2017-07-06 12:43:00","00:16:53","ColonelFatso",100
"The Elder Scrolls IV: Oblivion","2017-07-06 06:44:00","00:37:03","Garish",96
"The Firemen","2017-07-06 13:06:00","00:18:14","Omnigamer",25
"The Legend of Zelda: A Link to the Past","2017-07-07 06:26:00","01:14:58","Andy",107
"The Legend of Zelda: Breath of the Wild","2017-07-09 02:42:00","00:45:59","Orcastraw",100775
"The Legend of Zelda: Link's Awakening DX","2017-07-07 08:54:00","00:54:34","TGH, BambooShadow",109
"The Legend of Zelda: Majora's Mask","2017-07-08 23:29:00","02:39:51","TrevPerson",136
"The Legend of Zelda: Twilight Princess HD","2017-07-06 02:41:34","03:46:32","Pheenoh",95
"The Lion King","2017-07-03 13:43:00","00:15:03","Akiteru",49
"The Maitre D","2017-07-08 12:56:00","00:05:47","Nerd_Squared",128
"The Talos Principle","2017-07-06 20:05:59","00:50:04","Azorae",30
"The Wheel of Time","2017-07-04 17:16:00","00:19:20","Shaddex",75
"Tiny Toon Adventures: Buster Busts Loose!","2017-07-06 12:13:00","00:21:56","namux",99
"Titanfall 2","2017-07-08 14:18:00","01:35:33","An Angry Albino",131
"Tony Hawk's Pro Skater 2","2017-07-04 13:12:00","00:16:26","guished",69
"Tony Hawks Pro Skater 4","2017-07-04 13:43:00","00:37:38","TkMala",70
"Tryrush Deppy","2017-07-04 09:18:00","00:30:38","EggmaniMN",64
"VVVVVV","2017-07-05 18:47:00","00:17:42","FieryBlizzard, Chadwelli",14
"X-Men: Mutant Apocalypse","2017-07-07 17:10:21","00:18:09","LRock",121
"Ys Origin","2017-07-06 08:45:00","01:23:49","Ghost King",20
"Zelda 2: The Adventure of Link","2017-07-07 07:49:00","00:49:31","ERROR72",108
