"name","category","start_time","duration","runners","host","id"
"Blazing Chrome","Arcade Mode (Normal) - Ninja — Xbox One","2020-01-08 20:40:00","00:26:19","ThePoloKing","fir_",60
"Mega Man X4","Zero 100% — PC","2020-01-10 21:30:00","00:41:28","Qttsix","Cutethulhoo",111
"Bonk's Adventure","Any% — TG-16","2020-01-11 10:54:00","00:29:02","greatjhon","Sooraya",127
"Jumping Flash!","Any% — PSX","2020-01-11 12:30:00","00:19:38","Joester98","KrunchyLex",124
"Kuru Kuru Kururin","Any% (Normal) — GBA","2020-01-11 13:19:00","00:14:39","mohoc","Edobean",125
"Super Cat Bros","Any% — iPad","2020-01-11 13:41:00","00:35:35","MrUppercaseT","Edobean",126
"Kingdom Hearts: Birth by Sleep Final Mix HD","Critical/Level 1 Any% Character Bid War — PS4","2020-01-11 15:02:00","00:54:15","Pessilist","iggyzig",129
"Blasphemous","All Bosses - Glitched — PC","2020-01-11 16:07:00","00:51:38","teddyras","cartridgeblowers",130
"Katana Zero","All Stages — PC","2020-01-11 17:13:00","00:21:55","yisk","SakuraTsubasa",131
"Clone Hero (Guitar Hero)","Guitar Hero Showcase — PC","2020-01-11 17:58:00","00:51:32","FrostedGH","LT_Humphrey",132
"A Hat in Time","Any% Race — PC","2020-01-05 17:04:00","00:42:33","flarebear, Enhu","GhostBird",1
"Metroid: Zero Mission","Any% — GBA","2020-01-05 18:06:00","00:40:37","JRP2234","KrunchyLex",2
"Mega Man 7","100% — SNES","2020-01-05 19:05:00","00:49:40","PJ","KrunchyLex",3
"Ratchet & Clank Future: Tools of Destruction","Any% — PS3","2020-01-05 20:17:00","01:02:03","KillaLombax","Geeketiquette",4
"Star Wars - Escape from Yavin 4: The Lost Maps","Any% no VRGI — PC","2020-01-05 21:39:00","00:50:48","CovertMuffin","Geeketiquette",5
"The Binding Of Isaac Afterbirth+","R+7 (S6) — PC","2020-01-05 22:50:00","01:12:41","StoneAgeMarcus","cartridgeblowers",6
"Super Mario Bros. 3","100% race — NES","2020-01-06 00:26:00","01:14:28","mitchflowerpower, TheHaxor, stewie_cartman","cartridgeblowers",7
"The Legend of Zelda: Skyward Sword","Any% — Wii","2020-01-06 02:04:00","02:25:36","gymnast86","Kungfufruitcup",8
"Dino Crisis 2","Any% — PS3","2020-01-06 04:57:00","01:20:08","WOLFDNC","CovertMuffin",9
"realMyst: Masterpiece Edition","All Pages — PC","2020-01-06 06:32:00","00:16:13","Gelly","Prolix",10
"Riven: The Sequel to Myst","Any% — PC","2020-01-06 07:05:00","00:07:36","Zaustus","Prolix",11
"Myst III: Exile","Best ending — PC","2020-01-06 07:19:00","00:12:28","Admiral Flapjack","Prolix",12
"Bomberman Hero","Any% — N64","2020-01-06 07:42:00","00:47:29","Liquid Squid","Patty",13
"Pac-Man Arrangement","Any% — GBA","2020-01-10 16:38:00","00:10:08","Joester98","LT_Humphrey",109
"Mega Man X3","100% — SNES","2020-01-10 22:23:00","00:46:05","darrenville","Cutethulhoo",112
"Mega Man X","100% Race — SNES","2020-01-10 23:24:00","00:37:05","Tokyo90, darrenville, Clipper1, Soppanaama","Cutethulhoo",113
"TASBot plays Super Mario Bros. 3","Warps by Lord Tom, Tompa & Maru — NES","2020-01-11 00:24:00","00:10:19","dwangoAC, TASBot, TiKevin83","Raelcun",115
"TASBot plays Super Mario Bros. 2","Warpless by Aglar and AndrewG — NES","2020-01-11 00:40:00","00:18:19","dwangoAC, TASBot, TiKevin83","Raelcun",116
"The Legend of Zelda: The Wind Waker","Any% — Wii","2020-01-11 01:31:00","01:13:36","CLG Linkus7","Mr. Game and Shout",114
"Super Mario 64 Randomizer","70 Star — Wii VC","2020-01-11 03:14:00","01:04:36","Puncayshun, 360Chrism, Simply","Raelcun",118
"Super Mario World","One Mind 11 Exit Coop — SNES","2020-01-11 04:39:00","00:14:48","authorblues, LackAttack24","CovertMuffin",119
"Dark Souls","Any% — PC","2020-01-11 05:17:00","00:36:22","Regole","CovertMuffin",120
"Control","Any% — PC","2020-01-11 06:06:00","01:08:47","Bryonato","Prolix",121
"Castlevania: The Dracula X Chronicles","Bad Ending — PSTV","2020-01-11 14:24:00","00:23:22","Satoryu","Sooraya",24679
"The Legend of Zelda: A Link to the Past Randomizer","Open Mode, Crowd Control Difficulty — SNES","2020-01-11 19:11:00","03:41:00","Andy, Warp World","fir_",133
"Sekiro: Shadows Die Twice","All Memories & All Beads — PC","2020-01-11 23:09:00","01:35:53","LilAggy","iggyzig",137014
"Untitled Goose Game","All Main Tasks — PC","2020-01-12 00:57:00","00:15:43","Tasselfoot","iggyzig",134
"Super Mario Maker 2","4v4 Blind Relay Race — Switch","2020-01-12 01:42:00","01:15:00","Carl Sagan, grandpoobear, PangaeaPanga, Barbarian, juzcook, ryukahr, Aurateur, Thabeast721","Skybilz",135
"Mike Tyson's Punch-Out!!","2 players 1 controller blindfolded — NES","2020-01-08 01:49:00","00:23:39","sinister1, zallard1","Mr. Game and Shout",63371
"Cybernator","No Napalm — SNES","2020-01-08 21:24:00","00:08:14","Elpis","fir_",61
"Super Monkey Ball","All Difficulties No Extras Warpless — Gamecube","2020-01-08 21:49:00","00:23:41","Helix","Prolix",62
"Teenage Mutant Ninja Turtles (arcade)","Any% 1CC — Xbox 360","2020-01-08 22:40:00","00:17:46","LRock617","Prolix",63
"Metal Gear Solid 3: Snake Eater","European Extreme Foxhound — PS3","2020-01-09 00:14:00","01:14:00","RaichuMGS","Geeketiquette",65
"The Legend of Zelda: Ocarina of Time","100% No Source Requirement — Wii","2020-01-09 01:52:00","02:50:12","ZFG","Kungfufruitcup",66
"Cadence of Hyrule","Story Mode — Switch","2020-01-09 05:25:00","00:17:29","SpootyBiscuit, Goof","Edobean",67
