"time","num_viewers","num_tweets","num_chats","num_emotes","num_donations","total_donations"
"2020-01-12 15:44:00+00",,14,0,0,54134,3133062.78
"2020-01-12 15:45:00+00",,9,0,0,54134,3133062.78
"2020-01-12 15:46:00+00",,10,0,0,54134,3133062.78
"2020-01-12 15:47:00+00",,11,0,0,54134,3133062.78
"2020-01-12 15:49:00+00",,12,1,1,54134,3133062.78
"2020-01-12 15:48:00+00",,9,0,0,54134,3133062.78
"2020-01-05 13:00:00+00",7649,6,14,1,2,30
"2020-01-05 13:01:00+00",7666,1,16,0,2,30
"2020-01-05 13:02:00+00",7668,9,14,11,2,30
"2020-01-05 13:03:00+00",7684,4,15,13,2,30
"2020-01-05 13:04:00+00",7707,6,14,6,2,30
"2020-01-05 13:05:00+00",7730,6,14,2,2,30
"2020-01-05 13:06:00+00",7768,3,18,8,2,30
"2020-01-05 13:07:00+00",7748,1,14,3,2,30
"2020-01-05 13:08:00+00",7753,4,18,2,2,30
"2020-01-05 13:09:00+00",7754,2,13,1,2,30
"2020-01-05 13:10:00+00",7759,2,15,2,2,30
"2020-01-05 13:11:00+00",7847,3,11,5,2,30
"2020-01-05 13:12:00+00",7847,6,14,5,2,30
"2020-01-05 13:13:00+00",7830,3,15,6,2,30
"2020-01-05 13:14:00+00",7856,5,20,4,2,30
"2020-01-05 13:15:00+00",7798,2,11,0,2,30
"2020-01-05 13:16:00+00",7815,3,8,3,2,30
"2020-01-05 13:17:00+00",7807,7,9,1,2,30
"2020-01-05 13:18:00+00",7833,5,11,1,2,30
"2020-01-05 13:19:00+00",7840,5,19,6,2,30
"2020-01-05 13:20:00+00",7897,2,13,5,2,30
"2020-01-05 13:21:00+00",7944,2,10,1,2,30
"2020-01-05 13:22:00+00",7925,2,9,2,2,30
"2020-01-05 13:23:00+00",7943,2,5,3,2,30
"2020-01-05 13:24:00+00",7963,2,16,6,2,30
"2020-01-05 13:25:00+00",7983,3,18,0,2,30
"2020-01-05 13:26:00+00",8035,4,21,15,2,30
"2020-01-05 13:27:00+00",8023,4,7,4,2,30
"2020-01-05 13:28:00+00",8013,5,6,2,2,30
"2020-01-05 13:29:00+00",8037,6,13,13,2,30
"2020-01-05 13:30:00+00",8011,6,8,4,2,30
"2020-01-05 13:31:00+00",7987,2,13,4,2,30
"2020-01-05 13:32:00+00",7998,4,11,11,2,30
"2020-01-05 13:33:00+00",8004,3,24,24,2,30
"2020-01-05 13:34:00+00",8004,3,21,11,2,30
"2020-01-05 13:35:00+00",8006,3,23,27,2,30
"2020-01-05 13:36:00+00",7974,7,25,21,2,30
"2020-01-05 13:37:00+00",7995,5,40,32,2,30
"2020-01-05 13:38:00+00",7993,2,26,7,2,30
"2020-01-05 13:39:00+00",8001,5,35,17,2,30
"2020-01-05 13:40:00+00",7939,7,17,16,2,30
"2020-01-05 13:41:00+00",7934,8,8,2,2,30
"2020-01-05 13:42:00+00",8009,6,7,6,2,30
"2020-01-05 13:43:00+00",7982,6,10,3,2,30
"2020-01-05 13:44:00+00",8035,5,4,1,2,30
"2020-01-05 13:45:00+00",8073,9,10,9,2,30
"2020-01-05 13:46:00+00",8071,3,11,8,2,30
"2020-01-05 13:47:00+00",8161,0,10,0,2,30
"2020-01-05 13:48:00+00",8169,4,11,5,2,30
"2020-01-05 13:49:00+00",8169,5,11,1,2,30
"2020-01-05 13:50:00+00",8131,7,16,5,2,30
"2020-01-05 13:51:00+00",8148,3,9,2,2,30
"2020-01-05 13:52:00+00",8139,10,7,6,2,30
"2020-01-05 13:53:00+00",8211,6,10,5,2,30
"2020-01-05 13:54:00+00",8222,4,2,0,2,30
"2020-01-05 13:55:00+00",8234,6,13,2,2,30
