"name","category","start_time","duration","runners","host","id"
"Laffy Taffy 3D Pyramid Challenge","Any% No Passwords — PC","2019-06-26 10:45:00","00:09:46","Zikubi","LLK",67
"Glover","All Main Levels — N64","2019-06-26 11:05:00","00:28:49","yoshipro","LLK",68
"Castlevania (DOS)","Any% — PC","2019-06-26 11:48:00","00:15:59","LoZCardsfan23","Pythonicus",69
"Last Action Hero","any% — NES","2019-06-26 12:15:00","00:09:02","SuperPitFro","Pythonicus",70
"Splatterhouse: Wanpaku Graffiti","Any% True Ending Race — FC","2019-06-26 12:34:00","00:19:53","StormCrow56k, BesTickles","Pythonicus",71
"Sylvester and Tweety in Cagey Capers","100% Difficulty — Genesis","2019-06-26 13:06:00","00:13:29","Ritz Blues","cartridgeblowers",72
"Boogerman: A Pick and Flick Adventure","Any% No Item Use — Genesis","2019-06-26 13:30:00","00:27:45","mrmaximus11","cartridgeblowers",73
"T.R.A.G.: Tactical Rescue Assault Group","any% — PSX","2019-06-26 14:11:00","00:52:50","CavemanDCJ","cartridgeblowers",15281
"Clustertruck","noAbility% — PC","2019-06-26 15:19:00","00:28:04","ConnorAce","French Toast",75
"Lethal League Blaze","Arcade Mode — PC","2019-06-26 16:00:00","00:17:48","Buffet Time","French Toast",76
"Nex Machina","Rookie Any% — PC","2019-06-26 16:29:00","00:24:10","ProtoPip","French Toast",77
"Furi","Speedrun Mode (Furi Difficulty) — PC","2019-06-26 17:01:00","00:30:49","Dircashede","French Toast",78
"Nuclear Throne","All Bosses — PC","2019-06-26 17:46:00","00:18:18","fishmcmuffins","French Toast",79
"Command & Conquer: Red Alert 3","Soviet Campaign Hard Mode Co-op — PC","2019-06-26 18:51:00","01:31:42","Raelcun, CovertMuffin","iggyzig",81
"StarCraft Remastered","Brood War Protoss Campaign — PC","2019-06-26 20:43:00","00:50:39","KingDime","iggyzig",75042
"The Legend of Zelda: A Link Between Worlds","100% — 3DS","2019-06-26 21:58:00","03:05:52","TheLegendofZaheer","sgrunt",83
"Dark Souls II","All Bosses (with DLC) — PC","2019-06-27 01:35:00","02:35:57","Distortion2","Sooraya",79322
"Dead Rising","Overtime Mode (New Game / Low%) — PC","2019-06-27 04:37:00","00:22:25","DrunkWario","AnEternalEnigma",85
"Remnants of Naezith","All Chapters — PC","2019-06-27 05:10:10","00:19:17","XepiccatX","AnEternalEnigma",86
"Looney Tunes","All Levels — GB","2019-06-27 05:46:10","00:11:32","WinnerBit","SmoothOperative",87
"Rhino Rumble","Any% — GBC","2019-06-27 06:06:28","00:15:24","WinnerBit","SmoothOperative",23574
"Jumper: Griffin's Story","Any% — Wii","2019-06-27 06:33:28","00:17:12","Silo_Simon","SmoothOperative",89
"Aero the Acro-Bat 2","Any% — SNES","2019-06-27 06:58:28","00:31:46","Thu Ox","SmoothOperative",90
"Super Bomberman 2","Any% — SNES","2019-06-27 07:35:28","00:27:46","Iceplug","SmoothOperative",91
"Metal Slug X","any% — PC","2019-06-27 08:13:00","00:17:44","sukimos","Pythonicus",92
"Metal Slug 3","any% — PC","2019-06-27 08:38:00","00:27:59","sukimos","Pythonicus",93
"Gauntlet","any% race — NES","2019-06-27 09:20:00","00:16:12","digshake, Eunos","Pythonicus",94
"Chip 'N Dale: Rescue Rangers","any% co-op — NES","2019-06-27 09:47:00","00:09:51","sinister1, GeneralAndrews","Pythonicus",95
"Teenage Mutant Ninja Turtles IV: Turtles In Time","any% co-op — SNES","2019-06-27 10:06:00","00:21:55","GeneralAndrews, Dospostmann","Pythonicus",96
"Ristar","100% — Genesis","2019-06-27 10:41:00","00:34:17","Chubbus","Pythonicus",97
"Sonic 3D Blast","Any% Bad Ending — Genesis","2019-06-27 11:27:00","00:27:00","KingRhodesTn","Nichole Goodnight",98
"Cave Story","Best Ending — PC","2019-06-27 12:07:00","00:59:39","Shadax","Nichole Goodnight",99
"Koumajou Densetsu II: Yougen no Chingonka","Hard — PC","2019-06-27 13:15:00","00:15:58","Shadax","The_Kov",100
"Fire Emblem Fates","Revelation/Birthright/Conquest (Normal/Classic) — 3DS","2019-06-27 13:57:00","01:05:38","Kirbymastah","The_Kov",265
"Kingdom Hearts III","Any% (Beginner) Co-op Relay — PS4","2019-06-27 15:20:00","03:12:02","mistmaster1, CrispyMe, ninten866","SakuraTsubasa",102
"Super Mario World","Blind Relay Race — SNES","2019-06-27 19:04:00","00:54:00","Barbarian, LaserBelch, PangaeaPanga, Dode, grandpoobear, juzcook, GlitchCat7, NobleTOFU","SporadicErratic",103
"Super Mario Bros. 3","All Forts Race — NES","2019-06-27 20:25:00","00:50:12","mitchflowerpower, grandpoobear, Lawso42, TheHaxor","Skybilz",94660
"Invictus","100% — SNES","2019-06-27 21:36:00","00:42:48","Dode","CovertMuffin",94937
"Grand Poo World 2","Any% Good Ending — SNES","2019-06-27 22:37:00","01:07:36","mitchflowerpower","Skybilz",106
"Banjo-Kazooie","100% race — N64","2019-06-28 00:13:36","02:04:04","Hagginater, duck","CovertMuffin",107
"Mario Kart: Double Dash!!","All 4 Cups Race — Gamecube","2019-06-28 02:41:00","00:35:31","OptimisticEmo, Goomba","SporadicErratic",108
"Super Mario Galaxy 2","Any% — Wii","2019-06-28 03:53:31","03:12:58","SuperViperT302","KrunchyLex",109
"Pac-Man World","Any% — PSX","2019-06-28 07:20:31","00:32:36","Joester98","SmoothOperative",110
"Sly Cooper and the Thievius Raccoonus","All Keys — PS3","2019-06-28 08:04:00","01:10:06","Zenthrow","SmoothOperative",102022
"Star Fox 64","Red Line All Medals — N64","2019-06-28 09:29:00","00:34:50","LylatR","SmoothOperative",112
"Diablo 2: Lord Of Destruction","Necromancer Any% Normal — PC","2019-06-28 10:19:00","02:05:09","MrLlamaSC","WeGoGiant",108418
"Quake","Easy Run — PC","2019-06-28 12:38:00","00:17:48","alexh0w","French Toast",114
"Half-Life","any% — PC","2019-06-28 13:08:00","00:33:28","alexh0w, Msushi","French Toast",115
"Half-Life 2","New Engine, Inbounds — PC","2019-06-28 14:07:00","00:59:34","waezone","French Toast",116
"Hyper Light Drifter","No Major Glitches — PC","2019-06-28 15:20:00","00:37:25","CovertMuffin","",96329
"Minecraft","Any% Random Seed Glitchless — PC","2019-06-28 16:14:00","01:00:12","illumina1337","sgrunt",117
"Octopath Traveler","Single Story Bidwar — Switch","2019-06-28 17:29:00","01:15:51","mamgar, altabiscuit, Ouro, Archariat","sonicmega",118
"Rockman 4 Minus Infinity","Any% — FC","2019-06-28 19:07:00","00:44:45","Kuumba","SakuraTsubasa",93847
"Mega Man 2","Difficult Zipless — FC","2019-06-28 20:06:45","00:29:14","coolkid","Metman",78530
"Mega Man 3","any% — FC","2019-06-28 20:44:45","00:34:11","ColonelFatso","Metman",102033
"Mega Man 11","Any% Normal No OoB Race — PC","2019-06-28 21:52:45","00:34:18","fastatcc, Qttsix","Edobean",121
"Tetris Effect","Journey Mode (Expert) — PS4","2019-06-28 22:40:00","00:34:07","HardDrop","Edobean",122
"TASBot plays Tetris","Mode B, playaround, fastest 999999 by Baxter — NES","2019-06-28 23:33:00","00:07:25","dwangoAC","Raelcun",123
"TASBot plays Mario Kart Wii","8 Tracks (IGT: ~10 minutes) — Wii","2019-06-28 23:54:00","00:16:53","dwangoAC","Raelcun",124
"TASbot Plays Celeste","All Berries — PC","2019-06-29 00:36:53","00:43:36","Tech Crew","Raelcun",117606
"Dark Souls","All Bosses — PC","2019-06-29 01:46:29","01:25:27","catalystz","CovertMuffin",126
"The Legend of Zelda: Breath of the Wild","Any% (No Amiibo) — Switch","2019-06-29 04:11:56","00:33:51","Wolhaiksong","sonicmega",127
"The Legend of Zelda: Majora's Mask","100% — Wii VC","2019-06-29 05:03:56","05:11:12","MajinPhil","YoBGS",128
"Bomberman 64: The Second Attack","Any% — N64","2019-06-29 10:29:56","00:41:29","LivelyRaccoon","sonicmega",129
"Cannon Spike","Any% — Dreamcast","2019-06-29 11:34:00","00:08:19","Aquas","SimplyAJ",130
"Lara Croft Tomb Raider: Legend","Any% — PC","2019-06-29 11:52:00","00:45:20","SmoothOperative","SimplyAJ",296
"Transistor","Low% — PC","2019-06-29 12:50:00","00:48:44","fhnnhf","WeGoGiant",132
"The Elder Scrolls V: Skyrim","Main Quest — PC","2019-06-29 13:53:00","00:37:24","Chronos_R","WeGoGiant",133
"Pokemon: Let's Go, Pikachu!/Eevee!","Any% — Switch","2019-06-29 14:55:00","03:18:13","eddaket","KrunchyLex",130820
"Super Mario World","96 Exit — SNES","2019-06-29 18:38:00","01:27:25","Seathorne, truman, TNT","Patty",135
"The Legend of Zelda: Ocarina of Time.","any% — Wii VC","2019-06-29 20:27:00","00:19:52","Torje","Kungfufruitcup",134853
"Link to the Past + Super Metroid Combo Randomizer","Co-op Beat the games (But also a race) — SNES","2019-06-29 21:07:00","02:54:57","Andy, Ivan","Skybilz",137078
"Chrono Trigger","Glitchless 100% — SNES","2019-06-30 00:25:00","06:00:00","puwexil","SporadicErratic, Prolix",138191
