"name","category","start_time","duration","runners","host","id"
"Spyro Reignited Trilogy: Spyro the Dragon","Any% — PS4","2019-06-23 16:59:00","00:48:19","ChrisLBC","Nichole Goodnight",1
"Portal 2","Single Player Inbounds — PC","2019-06-23 18:02:00","01:04:29","Can't Even","Nichole Goodnight",167
"Teenage Mutant Ninja Turtles III: The Manhattan Project","Any% co-op — NES","2019-06-23 19:18:00","00:35:39","PJ, Mecha Richter","LLK",3
"Super Mario Bros. 2","All Stages — NES","2019-06-23 20:08:00","00:23:21","coolkid","The_Kov",4
"Donkey Kong Country 2: Diddy's Kong Quest","Any% — SNES","2019-06-23 20:44:00","00:51:15","MikeKanis","The_Kov",5
"Kirby: Nightmare in Dream Land","Any% — GBA","2019-06-23 21:46:00","00:40:02","Mr_Shasta","Edobean",14799
"Sonic Generations","Any% — PC","2019-06-23 22:46:00","00:56:03","thebluemania","Edobean",7
"The Legend of Zelda: The Minish Cap","Any% — Wii U VC","2019-06-24 00:01:00","01:51:10","quo","iggyzig",8
"Devil May Cry","any% — PC","2019-06-24 02:05:00","00:48:48","Maxylobes","SimplyAJ",9
"Streets of Rage","Hardest — Genesis","2019-06-24 03:13:00","00:30:44","cestpatou","Mike Uyama",21151
"Final Doom","TNT-Evilution UV-Speed — PC","2019-06-24 04:01:00","00:45:54","KingDime","Prolix",11
"Outland","Any% — PC","2019-06-24 04:59:00","01:08:10","Vulajin","Sooraya",12
"The Hobbit","Any% No Menu Glitches — GC","2019-06-24 06:24:00","00:34:06","Chrixiam98","KrunchyLex",13
"Tony Hawk's Underground 2","Classic Normal (All Goals) (NG+) — PC","2019-06-24 07:12:00","00:21:20","Plumato","KrunchyLex",14
"Zombies Ate My Neighbors","Any% — SNES","2019-06-24 07:43:00","00:36:44","teddyras","KrunchyLex",15
"Blaster Master","any% (JP) — FC","2019-06-24 08:31:00","00:25:56","davidtki","SporadicErratic",16
"Solomon's Key","Any% — NES","2019-06-24 09:08:00","00:14:00","metroidmcfly","SporadicErratic",17
"Metroid","Any% — NES","2019-06-24 09:29:00","00:11:26","metroidmcfly","SporadicErratic",18
"Rygar","any% No WW — NES","2019-06-24 09:50:00","00:22:53","Darkwing Duck","SporadicErratic",19
"DuckTales 2","Any% — NES","2019-06-24 10:29:00","00:16:23","swordsmankirby","SporadicErratic",20
"Marble Madness","Any% Co-op — NES","2019-06-24 11:11:00","00:14:57","yelsraek, Elipsis","SporadicErratic",21
"Jackal","Any% 2 Player — NES","2019-06-24 11:30:00","00:08:27","RottDawg, SuperPitFro","YoBGS",22
"Contra","Low% 2 Player — NES","2019-06-24 11:46:00","00:11:25","angrylanks, RottDawg","YoBGS",23
"Contra III: The Alien Wars","any% Hard — SNES","2019-06-24 12:27:00","00:15:27","FCJ2000","YoBGS",24
"Alien Soldier","Supereasy — Genesis","2019-06-24 12:56:00","00:24:59","chronoon","YoBGS",25
"Ranger-X","Heavy — Genesis","2019-06-24 13:34:00","00:13:35","d4gr0n","YoBGS",29861
"Ninja Spirit","Any% — TG-16","2019-06-24 13:58:00","00:10:24","lattmackey","Pythonicus",27
"Super Time Force Ultra","All Missions — PC","2019-06-24 14:22:00","00:31:24","Tohloo","Pythonicus",28
"Half-Minute Hero","Any% Hero 30 — PSTV","2019-06-24 15:05:00","00:23:32","dowolf","Pythonicus",29
"Timespinner","Any% — PC","2019-06-24 15:41:00","00:25:33","RiskyCB","cartridgeblowers",30
"Castlevania","Any % — NES","2019-06-24 16:30:00","00:13:21","2snek, Komrade, freeland1787","cartridgeblowers",31
"Bloodstained: Curse of the Moon","Any% No-OOB Ultimate (Veteran) — PC","2019-06-24 17:02:00","00:24:56","strizer86","cartridgeblowers",32
"Castlevania: Symphony of the Night","All Bosses & Relics, Save Richter — Xbox 360","2019-06-24 17:39:00","00:43:31","Dr4gonBlitz","cartridgeblowers",33318
"Castlevania: Portrait of Ruin","No OOB — DS","2019-06-24 18:42:00","00:49:17","VB__","AnEternalEnigma",34
"Prey","All Main Quests — PC","2019-06-24 19:45:00","01:05:06","LifeL1ke","AnEternalEnigma",35
"Titanfall 2","Any% — PC","2019-06-24 21:16:00","01:23:45","Bryonato","Prolix",36
"Perfect Dark","Any% — N64","2019-06-24 23:20:00","00:33:00","alkamaass","CovertMuffin",38152
"Borderlands 2","Coop All Quests — PC","2019-06-25 00:21:00","02:48:04","TheFuncannon, Shockwve, Amyrlinn","Prolix",38
"Metroid Prime","Any% — Gamecube","2019-06-25 03:48:00","01:16:40","JustinDM","SakuraTsubasa",39
"Metroid Prime 2: Echoes","Any% — Gamecube","2019-06-25 05:22:00","01:27:33","Claris","SakuraTsubasa",40
"Uncharted: Drake's Fortune","any% PS4 No Airwalk — PS4","2019-06-25 06:59:00","00:42:11","osskari","Sooraya",41
"Chasm: The Rift","any% — PC","2019-06-25 07:57:00","00:15:03","tbcr","Sooraya",207
"Monster Boy and the Cursed Kingdom","any% — Switch","2019-06-25 08:22:00","01:53:22","tinahacks","WeGoGiant",14974
"The Textorcist","All Bosses — PC","2019-06-25 10:31:22","00:28:20","teddyras","WeGoGiant",44
"Skylar & Plux: Adventure On Clover Island","any% — PC","2019-06-25 11:09:00","00:15:18","Cuttyflame_","LLK",45
"Slipstream","Cannonball Max Settings Race — PC","2019-06-25 11:37:00","00:17:44","Konasumi, WhatIsCalvin","sgrunt",46
"Split/Second","All Detonator Runs — Xbox 360","2019-06-25 12:11:00","00:31:02","ViceroyOfMonteCristo","sgrunt",47
"Kirby Air Ride","All Tracks No Duplicate Rides — Gamecube","2019-06-25 12:55:00","00:20:48","Pearstrike, 1davidj","YoBGS",48
"Kirby 64: The Crystal Shards","100% — Wii VC","2019-06-25 13:26:00","01:09:43","swordsmankirby","YoBGS",49
"Ape Escape","Any% — PSX","2019-06-25 14:45:00","00:49:28","Hornlitz","iggyzig",50
"Crash Bandicoot: N. Sane Trilogy","Crash Bandicoot 3:Warped Any% — PC","2019-06-25 16:08:00","00:48:48","JHobz, Murcaz, CameronVengenz","iggyzig",51
"Punch-Out!! (Arcade)","any% 1st loop — Switch","2019-06-25 17:31:00","00:11:51","zallard1","Glass Joe",52
"Punch-Out!! (Wii)","Contender & Title Defense (1st & 2nd loops) — Wii","2019-06-25 18:09:00","01:10:21","zallard1","The_Kov",53
"Pokemon Crystal","Any% Glitchless — GB","2019-06-25 19:52:00","03:31:15","Keizaron","sonicmega",54
"The Legend of Zelda Randomizer","Race (LITE Flagset) — NES","2019-06-26 00:24:00","00:53:26","JamEvil, fcoughlin","Edobean",55
"Deltarune","True Pacifist Ending Race — PC","2019-06-26 01:35:00","00:28:19","Cookiepocalypse, Shayy","Skybilz",58595
"Super Mario Sunshine","Any% Race — Gamecube","2019-06-26 02:30:00","01:20:48","Jcool114, Kwaniza","SmoothOperative",57
"Resident Evil 2","Claire A vs Leon A — PC","2019-06-26 04:07:00","00:54:27","Bawkbasoup","SmoothOperative",14989
"Silent Hill 3","UFO Ending — PC","2019-06-26 05:25:00","00:29:56","Punchy","AnEternalEnigma",59
"Sonic Adventure DX: Director's Cut","Big the Cat (2P/1C) — PC","2019-06-26 06:12:00","00:07:32","JerKro, Allegro","AnEternalEnigma",60
"Divekick","Story Mode All Levels Race - Damn Tough Difficulty — PC","2019-06-26 06:39:00","00:13:29","RagingCherry, ESAM","AnEternalEnigma",61
"We Love Katamari","any% — PS2","2019-06-26 07:13:00","01:02:30","GarbitheGlitcheress","Nichole Goodnight",62
"Shrek Extra Large","No Levels Early — GC","2019-06-26 08:33:00","00:25:02","Silo_Simon","Nichole Goodnight",63
"Mort the Chicken","Any% — PSX","2019-06-26 09:13:00","00:21:27","Joester98","LLK",64
"Catlateral Damage","Any% — PC","2019-06-26 09:51:00","00:13:22","Bullets","LLK",65
"Hylics","Any% — PC","2019-06-26 10:15:00","00:20:02","TheFlyingMarlin","LLK",66
