"time","num_viewers","num_tweets","num_chats","num_emotes","num_donations","total_donations"
"2019-06-30 12:47:00+00",,13,0,0,50901,3005478.87
"2019-06-30 12:46:00+00",,9,0,0,50901,3005478.87
"2019-06-30 12:45:00+00",,6,0,0,50901,3005478.87
"2019-06-30 12:44:00+00",,7,0,0,50901,3005478.87
"2019-06-30 12:43:00+00",,6,0,0,50901,3005478.87
"2019-06-30 12:42:00+00",,16,0,0,50901,3005478.87
"2019-06-30 12:41:00+00",,8,0,0,50901,3005478.87
"2019-06-30 12:40:00+00",,9,0,0,50901,3005478.87
"2019-06-30 12:39:00+00",,19,0,0,50900,3005473.87
"2019-06-30 12:38:00+00",,12,0,0,50900,3005473.87
"2019-06-30 12:37:00+00",,16,0,0,50900,3005473.87
"2019-06-30 12:36:00+00",,7,0,0,50900,3005473.87
"2019-06-30 12:35:00+00",,15,1,0,50900,3005473.87
"2019-06-30 12:34:00+00",,16,0,0,50900,3005473.87
"2019-06-30 12:33:00+00",,5,0,0,50900,3005473.87
"2019-06-30 12:32:00+00",,9,0,0,50899,3005448.87
"2019-06-30 12:31:00+00",,13,0,0,50899,3005448.87
"2019-06-30 12:30:00+00",,9,0,0,50899,3005448.87
"2019-06-30 12:29:00+00",,6,0,0,50899,3005448.87
"2019-06-30 12:28:00+00",,8,0,0,50899,3005448.87
"2019-06-30 12:27:00+00",,15,0,0,50899,3005448.87
"2019-06-30 12:26:00+00",,9,0,0,50899,3005448.87
"2019-06-30 12:25:00+00",,8,0,0,50899,3005448.87
"2019-06-30 12:24:00+00",,9,0,0,50899,3005448.87
"2019-06-30 12:23:00+00",,12,0,0,50899,3005448.87
"2019-06-30 12:22:00+00",,7,0,0,50899,3005448.87
"2019-06-30 12:21:00+00",,9,0,0,50899,3005448.87
"2019-06-30 12:20:00+00",,2,0,0,50899,3005448.87
"2019-06-30 12:19:00+00",,13,0,0,50899,3005448.87
"2019-06-30 12:18:00+00",,5,0,0,50899,3005448.87
"2019-06-30 12:17:00+00",,5,0,0,50899,3005448.87
"2019-06-30 12:16:00+00",,6,0,0,50899,3005448.87
"2019-06-30 12:15:00+00",,3,0,0,50899,3005448.87
"2019-06-30 12:14:00+00",,11,0,0,50899,3005448.87
"2019-06-30 12:13:00+00",,8,0,0,50899,3005448.87
"2019-06-30 12:12:00+00",,8,0,0,50899,3005448.87
"2019-06-30 12:11:00+00",,8,0,0,50899,3005448.87
"2019-06-30 12:10:00+00",,7,0,0,50899,3005448.87
"2019-06-30 12:09:00+00",,15,0,0,50899,3005448.87
"2019-06-30 12:08:00+00",,11,2,1,50899,3005448.87
"2019-06-30 12:07:00+00",,10,1,0,50899,3005448.87
"2019-06-30 12:06:00+00",,13,0,0,50899,3005448.87
"2019-06-30 12:05:00+00",,8,0,0,50899,3005448.87
"2019-06-30 12:04:00+00",,6,1,10,50899,3005448.87
"2019-06-30 12:03:00+00",,9,1,10,50899,3005448.87
"2019-06-30 12:02:00+00",,7,0,0,50899,3005448.87
"2019-06-30 12:01:00+00",,5,0,0,50899,3005448.87
"2019-06-30 12:00:00+00",,7,0,0,50899,3005448.87
"2019-06-30 11:59:00+00",,13,0,0,50899,3005448.87
"2019-06-30 11:58:00+00",,10,0,0,50899,3005448.87
"2019-06-30 11:57:00+00",,8,0,0,50899,3005448.87
"2019-06-30 11:56:00+00",,9,0,0,50899,3005448.87
"2019-06-30 11:55:00+00",,16,0,0,50899,3005448.87
"2019-06-30 11:54:00+00",,8,0,0,50899,3005448.87
"2019-06-30 11:53:00+00",,8,0,0,50899,3005448.87
"2019-06-30 11:52:00+00",,10,0,0,50899,3005448.87
"2019-06-30 11:51:00+00",,8,1,0,50899,3005448.87
"2019-06-30 11:50:00+00",,10,0,0,50899,3005448.87
"2019-06-30 11:49:00+00",,10,0,0,50899,3005448.87
"2019-06-30 11:48:00+00",,11,0,0,50899,3005448.87
"2019-06-30 11:47:00+00",,6,0,0,50898,3005388.87
"2019-06-30 11:46:00+00",,6,0,0,50898,3005388.87
"2019-06-30 11:45:00+00",,10,0,0,50898,3005388.87
"2019-06-30 11:44:00+00",,12,0,0,50898,3005388.87
"2019-06-30 11:43:00+00",,9,0,0,50898,3005388.87
"2019-06-30 11:42:00+00",,7,0,0,50898,3005388.87
"2019-06-30 11:41:00+00",,10,0,0,50898,3005388.87
"2019-06-30 11:40:00+00",,6,0,0,50898,3005388.87
"2019-06-30 11:39:00+00",,4,0,0,50898,3005388.87
"2019-06-30 11:38:00+00",,8,0,0,50898,3005388.87
"2019-06-30 11:37:00+00",,10,0,0,50898,3005388.87
"2019-06-30 11:36:00+00",,8,0,0,50898,3005388.87
"2019-06-30 11:35:00+00",,3,0,0,50898,3005388.87
"2019-06-30 11:34:00+00",,8,0,0,50897,3005378.87
"2019-06-30 11:33:00+00",,10,0,0,50897,3005378.87
"2019-06-30 11:32:00+00",,3,0,0,50897,3005378.87
"2019-06-30 11:31:00+00",,10,0,0,50896,3005278.87
"2019-06-30 11:30:00+00",,5,0,0,50896,3005278.87
"2019-06-30 11:29:00+00",,8,0,0,50896,3005278.87
"2019-06-30 11:28:00+00",,5,1,0,50896,3005278.87
"2019-06-30 11:27:00+00",,6,1,0,50896,3005278.87
"2019-06-30 11:26:00+00",,9,2,1,50896,3005278.87
"2019-06-30 11:25:00+00",,4,0,0,50895,3005228.87
